name_key,province,name_Eng,name_Afr
lambertsbaai,WC,Lamberts Bay,Lambertsbaai
struisbaai,WC,Struis Bay,Struisbaai
kleinmond,WC,Kleinmond,Kleinmond
portnolloth,NC,Port Nolloth,Port Nolloth
hondeklipbaai,NC,Hondeklip Bay,Hondeklipbaai
sainthelena,WC,Saint Helena,Saint Helena
doringbaai,WC,Doring Bay,Doringbaai
olifants,WC,Olifants,Olifants
elandsbaai,WC,Elands Bay,Elandsbaai
democommunity,WC,Demo Community,Demo Gemeenskap
arniston,WC,Arniston,Waenhuiskrans
langebaan,WC,Langebaan,Langebaan
